Id,Label,modularity_class
cakimiNOWTran,cakimiNOWTran,9
cakimiNOWTrans,cakimiNOWTrans,9
abahe naila,abahe naila,9
cakiminow,cakiminow,12
dahlan_muhidin,dahlan_muhidin,14
defend_id,defend_id,6
ekowboy2,ekowboy2,5
elisa_jkt,elisa_jkt,0
erickthohir,erickthohir,0
Korban Ceklist Satu,Korban Ceklist Satu,0
Republik Cyber Projo,Republik Cyber Projo,0
ernestprakasa,ernestprakasa,12
fatihandika,fatihandika,0
ganjar_pranowo,ganjar_pranowo,1
Sandiaga Salahuddin Uno,Sandiaga Salahuddin Uno,1
ganjarpranow,ganjarpranow,1
Arsjad Rasjid,Arsjad Rasjid,1
ganjarpranowo,ganjarpranowo,1
SINDOnews,SINDOnews,1
Okezone,Okezone,1
iNews,iNews,1
SeputariNewsRCTI,SeputariNewsRCTI,1
Ganjar Mahfud Menang,Ganjar Mahfud Menang,1
Salsa manise,Salsa manise,1
Cyril Raoul Hakim,Cyril Raoul Hakim,1
Bang Acan,Bang Acan,1
GUSTAVO BERRIO HERRE,GUSTAVO BERRIO HERRE,1
TRENDING ISSUE,TRENDING ISSUE,1
De Houtman,De Houtman,1
Ganjar Mahfud App,Ganjar Mahfud App,1
BOSS GANJAR OFFICIAL,BOSS GANJAR OFFICIAL,1
arryanea,arryanea,1
DPP PPP,DPP PPP,1
iNews.id,iNews.id,1
SERUAN H7,SERUAN H7,1
E I L I T H I A,E I L I T H I A,1
Pakar INTELek,Pakar INTELek,1
Sidhant Singh Rajput,Sidhant Singh Rajput,1
Kr1sN4 Ad1,Kr1sN4 Ad1,1
Jeni_Ly again,Jeni_Ly again,1
Marhaenis Muhammadiyah,Marhaenis Muhammadiyah,14
sumantri suwarno,sumantri suwarno,1
d o c t o r f a b r e ??,d o c t o r f a b r e ??,1
RCTI+,RCTI+,1
Ken Hans,Ken Hans,1
Jax,Jax,1
TPN Ganjar Mahfud,TPN Ganjar Mahfud,1
Abigail,Abigail,1
Adjis,Adjis,1
b3doel,b3doel,1
Sam Setiawan,Sam Setiawan,1
zhil,zhil,1
Bulan,Bulan,4
Den mash ngopi,Den mash ngopi,1
elang chatulistiwa,elang chatulistiwa,1
Negeriku,Negeriku,1
Santorini,Santorini,1
Tn Muda,Tn Muda,1
Selalu ceria,Selalu ceria,1
Partai Demokrat Wonogiri,Partai Demokrat Wonogiri,1
Lintas iNews MNCTV,Lintas iNews MNCTV,1
Aries Reborn,Aries Reborn,1
Fuad L,Fuad L,1
Kopi Sutra,Kopi Sutra,1
Tondi,Tondi,1
Rumah Aspirasi Ganjar Mahfud,Rumah Aspirasi Ganjar Mahfud,1
joncy Jonacta,joncy Jonacta,1
Komisi Wasit,Komisi Wasit,14
PDI Perjuangan,PDI Perjuangan,1
Faza Meonk,Faza Meonk,1
Extra Time Indonesia,Extra Time Indonesia,1
Gibran Rak Piring Rak perkakas,Gibran Rak Piring Rak perkakas,1
2045 TV,2045 TV,1
Bryan Dodd,Bryan Dodd,1
Hazel Torrie,Hazel Torrie,1
Arjuna Sky Kok,Arjuna Sky Kok,1
Mardani Ali Sera,Mardani Ali Sera,1
tvOnenews,tvOnenews,1
alya,alya,1
ganjarpranowoTr,ganjarpranowoTr,15
Info Jateng,Info Jateng,15
The Conversation Indonesia,The Conversation Indonesia,15
gerindra,gerindra,14
Don Muzakir,Don Muzakir,14
gibran_rakabumi,gibran_rakabumi,14
gibran_tweet,gibran_tweet,14
Novi78,Novi78,14
Goytiom Efrem,Goytiom Efrem,14
Generasi Muda NU,Generasi Muda NU,1
hasratsenja,hasratsenja,14
Veronica Kim,Veronica Kim,14
Ayu,Ayu,14
Mas Dar,Mas Dar,14
Kiseeki,Kiseeki,14
Bali United FC,Bali United FC,5
Eko Kuntadhi,Eko Kuntadhi,14
Ambrosius Mulait,Ambrosius Mulait,14
Helda Shahab,Helda Shahab,14
SAT SET,SAT SET,14
APTX4869,APTX4869,14
ZULkifli Hasan,ZULkifli Hasan,14
FADLI ZON,FADLI ZON,14
Prabowo Subianto,Prabowo Subianto,14
IG AlifKamal13,IG AlifKamal13,14
Ganjar -Mahfud,Ganjar -Mahfud,14
Nicho Silalahi,Nicho Silalahi,4
Riskand,Riskand,4
Buya Eson,Buya Eson,14
Langit Mahameru,Langit Mahameru,14
Gusman,Gusman,14
M Eddy Soeparno,M Eddy Soeparno,14
someone,someone,14
Zalindra,Zalindra,14
Chaves,Chaves,14
Merr Magda,Merr Magda,14
Anton Kurniawan,Anton Kurniawan,14
Fey,Fey,14
KontraS,KontraS,4
key,key,14
PRABOWO GIBRAN MENANG SATU PUTARAN,PRABOWO GIBRAN MENANG SATU PUTARAN,14
Dahnil A Simanjuntak,Dahnil A Simanjuntak,14
Partai Gerindra,Partai Gerindra,14
Esteh_manis,Esteh_manis,14
Haekal Rasyid,Haekal Rasyid,14
Pejuang Pak Bowo,Pejuang Pak Bowo,14
Waktunya Indonesia Maju,Waktunya Indonesia Maju,14
IG endykurniawan,IG endykurniawan,14
Aziz Ilham Aldhiaz,Aziz Ilham Aldhiaz,14
Optimus,Optimus,14
BebaskanFatiaHaris,BebaskanFatiaHaris,14
Lex Wu,Lex Wu,14
bachrizal muqorobin,bachrizal muqorobin,14
KRMT,KRMT,14
Rendy,Rendy,14
Brigadir JM,Brigadir JM,14
D.Wijaya,D.Wijaya,14
Mulyadi_Adi__,Mulyadi_Adi__,14
Gus Arifin,Gus Arifin,14
Arief Poyuono,Arief Poyuono,14
Rinaldi Malimin,Rinaldi Malimin,14
saiful mujani,saiful mujani,4
Baliboy007 Memecoin,Baliboy007 Memecoin,14
Budiman Sudjatmiko (IG: kelasinspirasibudiman),Budiman Sudjatmiko (IG: kelasinspirasibudiman),14
Erlan Dewani Azis Kadrun,Erlan Dewani Azis Kadrun,14
Muhammad Eko Prasetyo,Muhammad Eko Prasetyo,14
Andre Bangun,Andre Bangun,14
Rahmat Diantara,Rahmat Diantara,14
Michel Adam,Michel Adam,14
gibran_tweetTra,gibran_tweetTra,14
Jawa Pos Radar Solo,Jawa Pos Radar Solo,14
YoshY,YoshY,14
raraa,raraa,14
KARINA Drama Queen,KARINA Drama Queen,14
Pudji W Rahardjo,Pudji W Rahardjo,14
RakyatBekasi.Com,RakyatBekasi.Com,14
hary_tanoe,hary_tanoe,1
Buletin iNews GTV,Buletin iNews GTV,1
herry_zudianto,herry_zudianto,9
idextratime,idextratime,5
imanlagi,imanlagi,0
Adalah,Adalah,0
indikatorcoid,indikatorcoid,0
islah_bahrawi,islah_bahrawi,1
jokowi,jokowi,4
Anak ogi,Anak ogi,6
Sekretariat Kabinet,Sekretariat Kabinet,4
Radio Elshinta,Radio Elshinta,4
Bima Prawira Utama,Bima Prawira Utama,4
Nadirsyah Hosen,Nadirsyah Hosen,4
dr. Andi Khomeini Takdir,dr. Andi Khomeini Takdir,4
Herwin,Herwin,4
NdrewsTjan,NdrewsTjan,4
DPP Projo,DPP Projo,4
Yurisa Agustina Samosir,Yurisa Agustina Samosir,4
jokowiTranslate,jokowiTranslate,14
Pandji Pragiwaksono,Pandji Pragiwaksono,14
kaesangp,kaesangp,5
kedaipenacomTra,kedaipenacomTra,11
KedaiPenaCom,KedaiPenaCom,11
kementan,kementan,6
kikysaputrii,kikysaputrii,0
Gibran,Gibran,0
pagandeng,pagandeng,0
kompascom,kompascom,12
kurawa,kurawa,6
mohmahfu,mohmahfu,1
mohmahfudmd,mohmahfudmd,1
Alvin Lie,Alvin Lie,14
Ahmad Husain Fahasbu,Ahmad Husain Fahasbu,1
Muhidin M Dahlan,Muhidin M Dahlan,1
Beril Huliselan,Beril Huliselan,1
Teuku Mahfud,Teuku Mahfud,1
Murtadha,Murtadha,1
Dr. M. Fadjroel Rachman,Dr. M. Fadjroel Rachman,1
Raghunath sahu,Raghunath sahu,1
Irwan A Tajoedin,Irwan A Tajoedin,1
Dodo,Dodo,1
Voidotid,Voidotid,1
RUDI VALINKA,RUDI VALINKA,1
herisan,herisan,1
AirinNz_KembaliLagi,AirinNz_KembaliLagi,1
