Id,Label,modularity_class;
VICTOR S NIHIN,VICTOR S NIHIN,19;
GP MMD 2024,GP MMD 2024,2;
msaid didu,msaid didu,14;
ADHIE M MASSARDI,ADHIE M MASSARDI,14;
AyoMoveOn2024,AyoMoveOn2024,14;
candece,candece,2;
ninikwafiroh,ninikwafiroh,17;
officialptdi,officialptdi,18;
prabowo,prabowo,0;
Sabda Alam,Sabda Alam,0;
Indonesian Embassy Bandar Seri Begawan,Indonesian Embassy Bandar Seri Begawan,0;
Manda Azkia,Manda Azkia,0;
tempo.co,tempo.co,0;
Lhuta_x,Lhuta_x,0;
eat,eat,0;
Lebah Borneo Reborn,Lebah Borneo Reborn,0;
zy_lestari,zy_lestari,0;
key,key,0;
Jansen Sitindaon,Jansen Sitindaon,0;
Erick Thohir,Erick Thohir,0;
RakyatAkalSehat,RakyatAkalSehat,0;
Herzaky Mahendra Putra,Herzaky Mahendra Putra,0;
Ariza Patria,Ariza Patria,0;
Dalang Rusuh,Dalang Rusuh,0;
222 Mountains For Palestine,222 Mountains For Palestine,0;
prabowoTranslat,prabowoTranslat,6;
CONIL,CONIL,6;
