Id,Label,modularity_class
HaHaHiHi ??,HaHaHiHi ??,0
??,??,0
Den Ayoe Nyimas,Den Ayoe Nyimas,0
N3wbed,N3wbed,0
Mohamad Guntur Romli,Mohamad Guntur Romli,0
nephilaXmus,nephilaXmus,17
SeputariNewsRCTI,SeputariNewsRCTI,0
IndonesiaMaju??,IndonesiaMaju??,0
Arsjad Rasjid,Arsjad Rasjid,0
Cyril Raoul Hakim,Cyril Raoul Hakim,0
Jamaah Anfieldiyah,Jamaah Anfieldiyah,0
Sam Pandiangan,Sam Pandiangan,0
Iskandar #,Iskandar #,0
Bonnie Triyana,Bonnie Triyana,0
"#GEAR5 #sungodnika #ONEPIECE #onepiece","#GEAR5 #sungodnika #ONEPIECE #onepiece",0
Nico Valent Dwicahyo,Nico Valent Dwicahyo,0
Faradilla Alfath,Faradilla Alfath,0
Laila Nirmala ,Laila Nirmala ,0
???? ????? ????,???? ????? ????,0
Tanah Airku ??????,Tanah Airku ??????,0
Wanta,Wanta,0
₩₩₩.T@.COM,₩₩₩.T@.COM,17
Joy Boy,Joy Boy,0
Mas,Mas,0
тєкα тєкι ѕιℓαηg,тєкα тєкι ѕιℓαηg,0
kiwi kiwil,kiwi kiwil,0
?Bang Arief?????️,?Bang Arief?????️,0
alpann,alpann,0
Safitri Hariyani S,Safitri Hariyani S,0
Kaka,Kaka,0
satria bumi,satria bumi,0
mas djawir ??????????,mas djawir ??????????,0
starryshi,starryshi,0
weddie | s ?,weddie | s ?,0
Harya,Harya,0
Galih Kadarwinata,Galih Kadarwinata,0
AKU ADALAH AKU,AKU ADALAH AKU,0
M.Tuhasan,M.Tuhasan,0
 ????? ????? ??? ????, ????? ????? ??? ????,0
AMIN.. MENUJU PERUBAHAN,AMIN.. MENUJU PERUBAHAN,17
b3'doel,b3'doel,18
garong_bukan,garong_bukan,14
geloraco,geloraco,16
Elang Bintang,Elang Bintang,16
Muis,Muis,16
gibran_rakabumi,gibran_rakabumi,11
Gerindra Jawa Tengah,Gerindra Jawa Tengah,11
gibran_tweet,gibran_tweet,17
Rian Safio,Rian Safio,17
FADLI ZON (Youtube: Fadli Zon Official),FADLI ZON (Youtube: Fadli Zon Official),17
Cah no,Cah no,17
Didin R,Didin R,17
Malik Fajar Ramadhan,Malik Fajar Ramadhan,17
Ciput??????,Ciput??????,17
Fadhli Erlanda Arlan,Fadhli Erlanda Arlan,17
"Tri Winarno, SST. OT","Tri Winarno, SST. OT",17
Sang Arjuna,Sang Arjuna,17
Raisa Tjokrodinata,Raisa Tjokrodinata,17
Muhammad Eko Prasetyo,Muhammad Eko Prasetyo,17
??#MelawanLupa??,??#MelawanLupa??,19
pengepul meme,pengepul meme,17
helen siagian,helen siagian,19
Sujaji,Sujaji,17
Prabowo - Gibran The Winner ?,Prabowo - Gibran The Winner ?,17
Keliex Tea,Keliex Tea,17
TUKANG MAIDO ⤴️,TUKANG MAIDO ⤴️,17
Golkar Indonesia,Golkar Indonesia,17
Dedek Prayudi - Uki,Dedek Prayudi - Uki,17
Ahmad Jilul Q. Farid,Ahmad Jilul Q. Farid,17
cathy,cathy,17
se_tya,se_tya,17
GP24P,GP24P,17
?? B. Prasetya ??,?? B. Prasetya ??,17
tidakko,tidakko,17
sylvi dewajani,sylvi dewajani,19
Palbapang 2,Palbapang 2,17
Cakraningrat,Cakraningrat,17
Abdullah Rasyid,Abdullah Rasyid,17
Muhammad Amrullah,Muhammad Amrullah,17
SOERYAW4DI,SOERYAW4DI,17
Ario Bayu,Ario Bayu,17
King Faisal,King Faisal,17
Bang Arman,Bang Arman,17
ꦏꦁꦗꦶꦩꦶ,ꦏꦁꦗꦶꦩꦶ,17
Oji,Oji,17
Bahlil Lahadalia,Bahlil Lahadalia,17
pemkot solo,pemkot solo,17
Don Muzakir,Don Muzakir,19
Dedy Nur,Dedy Nur,19
IDN Times,IDN Times,17
@ANAK WAYANG ❤??❤,@ANAK WAYANG ❤??❤,17
Arief Poyuono,Arief Poyuono,17
Rajtar,Rajtar,17
kemang satu,kemang satu,17
BABEH ALDO SEMENTARA DIMARI,BABEH ALDO SEMENTARA DIMARI,17
Latifa W Yantikumala,Latifa W Yantikumala,17
Tukang Kritik Pedas #jokowiperusakdemokrasi,Tukang Kritik Pedas #jokowiperusakdemokrasi,17
gokskilmen,gokskilmen,17
Mulyadi_Adi__,Mulyadi_Adi__,19
asifa,asifa,19
Anak ogi,Anak ogi,19
Satpol PP Kota Surakarta,Satpol PP Kota Surakarta,17
Orang Ulu Borneo,Orang Ulu Borneo,17
Wak 9313,Wak 9313,17
Gibran Rakabuming,Gibran Rakabuming,17
Lee,Lee,17
Bli Saka,Bli Saka,17
Mas Dar,Mas Dar,17
